"","Family","no_fish_species","source"
"394","Arripidae",4,"FishBase"
"395","Ceratiidae",4,"FishBase"
"396","Chacidae",4,"FishBase"
"397","Cryptacanthodidae",4,"FishBase"
"398","Diretmidae",4,"FishBase"
"399","Fistulariidae",4,"FishBase"
"400","Glaucosomatidae",4,"FishBase"
"401","Hexanchidae",4,"FishBase"
"402","Lophotidae",4,"FishBase"
"403","Molidae",4,"FishBase"
"404","Monocentridae",4,"FishBase"
"405","Odontaspididae",4,"FishBase"
"406","Parazenidae",4,"FishBase"
"407","Polyprionidae",4,"FishBase"
"408","Pristolepididae",4,"FishBase"
"409","Protopteridae",4,"FishBase"
"410","Pseudotriakidae",4,"FishBase"
"411","Scatophagidae",4,"FishBase"
"412","Stephanoberycidae",4,"FishBase"
"413","Alopiidae",3,"FishBase"
"414","Anotopteridae",3,"FishBase"
"415","Apistidae",3,"FishBase"
"416","Aulostomidae",3,"FishBase"
"417","Austroglanididae",3,"FishBase"
"418","Callorhinchidae",3,"FishBase"
"419","Cyttidae",3,"FishBase"
"420","Derichthyidae",3,"FishBase"
"421","Drepaneidae",3,"FishBase"
"422","Ereuniidae",3,"FishBase"
"423","Ginglymostomatidae",3,"FishBase"
"424","Grammicolepididae",3,"FishBase"
"425","Gyrinocheilidae",3,"FishBase"
"426","Indostomidae",3,"FishBase"
"427","Leptochilichthyidae",3,"FishBase"
"428","Mordaciidae",3,"FishBase"
"429","Ostracoberycidae",3,"FishBase"
"430","Parabrotulidae",3,"FishBase"
"431","Pataecidae",3,"FishBase"
"432","Psettodidae",3,"FishBase"
"433","Regalecidae",3,"FishBase"
"434","Rhyacichthyidae",3,"FishBase"
"435","Schindleriidae",3,"FishBase"
"436","Scombropidae",3,"FishBase"
"437","Serpenticobitidae",3,"FishBase"
"438","Tetragonuridae",3,"FishBase"
"439","Thalasseleotrididae",3,"FishBase"
"440","Vaillantellidae",3,"FishBase"
"441","Alepisauridae",2,"FishBase"
"442","Anoplogastridae",2,"FishBase"
"443","Anoplopomatidae",2,"FishBase"
"444","Barbuccidae",2,"FishBase"
"445","Bathysauridae",2,"FishBase"
"446","Brachaeluridae",2,"FishBase"
"447","Chirocentridae",2,"FishBase"
"448","Chlamydoselachidae",2,"FishBase"
"449","Comephoridae",2,"FishBase"
"450","Coryphaenidae",2,"FishBase"
"451","Cyematidae",2,"FishBase"
"452","Dichistiidae",2,"FishBase"
"453","Dinopercidae",2,"FishBase"
"454","Echinorhinidae",2,"FishBase"
"455","Ellopostomatidae",2,"FishBase"
"456","Gibberichthyidae",2,"FishBase"
"457","Giganturidae",2,"FishBase"
"458","Hiodontidae",2,"FishBase"
"459","Hypoptychidae",2,"FishBase"
"460","Kurtidae",2,"FishBase"
"461","Lampridae",2,"FishBase"
"462","Lateolabracidae",2,"FishBase"
"463","Latimeriidae",2,"FishBase"
"464","Lobotidae",2,"FishBase"
"465","Megalopidae",2,"FishBase"
"466","Melanonidae",2,"FishBase"
"467","Parabembridae",2,"FishBase"
"468","Perciliidae",2,"FishBase"
"469","Percopsidae",2,"FishBase"
"470","Pholidichthyidae",2,"FishBase"
"471","Plecoglossidae",2,"FishBase"
"472","Plectrogeniidae",2,"FishBase"
"473","Polycentridae",2,"FishBase"
"474","Polyodontidae",2,"FishBase"
"475","Pseudaphritidae",2,"FishBase"
"476","Pseudotrichonotidae",2,"FishBase"
"477","Rondeletiidae",2,"FishBase"
"478","Tetrabrachiidae",2,"FishBase"
"479","Trichodontidae",2,"FishBase"
"480","Valenciidae",2,"FishBase"
"481","Veliferidae",2,"FishBase"
"482","Amarsipidae",1,"FishBase"
"483","Amiidae",1,"FishBase"
"484","Aphredoderidae",1,"FishBase"
"485","Aulorhynchidae",1,"FishBase"
"486","Banjosidae",1,"FishBase"
"487","Barbourisiidae",1,"FishBase"
"488","Bathylutichthyidae",1,"FishBase"
"489","Bathysauroididae",1,"FishBase"
"490","Centrogenyidae",1,"FishBase"
"491","Centrophrynidae",1,"FishBase"
"492","Cetorhinidae",1,"FishBase"
"493","Chanidae",1,"FishBase"
"494","Cheimarrichthyidae",1,"FishBase"
"495","Dentatherinidae",1,"FishBase"
"496","Denticipitidae",1,"FishBase"
"497","Dinolestidae",1,"FishBase"
"498","Eleginopsidae",1,"FishBase"
"499","Enoplosidae",1,"FishBase"
"500","Eschmeyeridae",1,"FishBase"
"501","Euclichthyidae",1,"FishBase"
"502","Eurypharyngidae",1,"FishBase"
"503","Geotriidae",1,"FishBase"
"504","Gnathanacanthidae",1,"FishBase"
"505","Gymnarchidae",1,"FishBase"
"506","Helostomatidae",1,"FishBase"
"507","Hexatrygonidae",1,"FishBase"
"508","Hispidoberycidae",1,"FishBase"
"509","Hypnidae",1,"FishBase"
"510","Icosteidae",1,"FishBase"
"511","Lacantuniidae",1,"FishBase"
"512","Lactariidae",1,"FishBase"
"513","Lepidogalaxiidae",1,"FishBase"
"514","Lepidosirenidae",1,"FishBase"
"515","Leptobramidae",1,"FishBase"
"516","Leptochariidae",1,"FishBase"
"517","Lophichthyidae",1,"FishBase"
"518","Luvaridae",1,"FishBase"
"519","Megachasmidae",1,"FishBase"
"520","Menidae",1,"FishBase"
"521","Mitsukurinidae",1,"FishBase"
"522","Nematistiidae",1,"FishBase"
"523","Nematogenyidae",1,"FishBase"
"524","Neoceratiidae",1,"FishBase"
"525","Neoceratodontidae",1,"FishBase"
"526","Normanichthyidae",1,"FishBase"
"527","Notocheiridae",1,"FishBase"
"528","Omosudidae",1,"FishBase"
"529","Pantodontidae",1,"FishBase"
"530","Parascorpididae",1,"FishBase"
"531","Perryenidae",1,"FishBase"
"532","Phractolaemidae",1,"FishBase"
"533","Plesiobatidae",1,"FishBase"
"534","Pomatomidae",1,"FishBase"
"535","Protanguillidae",1,"FishBase"
"536","Pseudocarchariidae",1,"FishBase"
"537","Ptilichthyidae",1,"FishBase"
"538","Rachycentridae",1,"FishBase"
"539","Radiicephalidae",1,"FishBase"
"540","Rhamphocottidae",1,"FishBase"
"541","Rhincodontidae",1,"FishBase"
"542","Scombrolabracidae",1,"FishBase"
"543","Scytalinidae",1,"FishBase"
"544","Stegostomatidae",1,"FishBase"
"545","Stylephoridae",1,"FishBase"
"546","Triodontidae",1,"FishBase"
"547","Xiphiidae",1,"FishBase"
"548","Zanclidae",1,"FishBase"
"549","Zaproridae",1,"FishBase"
